word,number
Get,9
insight,8
product,76
"photography,",14
"post-production,",8
eCommerce,8
image,76
best,19
practices.,8
term,2
“creative,1
operations”,1
encompasses,1
"systems,",2
"tools,",1
processes,8
make,36
creative,42
workflow,4
creates,2
delivers,1
content,4
form.,1
discussed,1
blog,1
post,2
4,1
Lessons,1
Creative,1
Operations,2
Optimization,1
World,1
Leaders,1
Fast,3
"Fashion,",1
fashion,2
e-commerce,10
industry,4
leaders,2
become,6
relentless,1
quest,1
achieve,6
same,23
efficiency,21
operations,22
achieved,1
manufacturing,7
logistics,3
operations.,9
wrote,2
post:,1
“In,1
"practice,",1
[achieving,1
operational,4
efficiency],1
means,19
bringing,4
excellence,1
process.,1
Fashion,2
strategy,1
meetings,2
involve,2
analyzing,2
tons,2
data,30
Studio-to-Web,1
"lead-times,",1
Product,4
Listing,1
"Optimization,",1
Digital,2
Asset,1
"Management,",1
Multi-Channel,1
e-commerce.,1
constantly,2
using,28
identify,6
areas,8
process,11
even,14
slightest,1
optimizations,1
"that,",14
"time,",9
result,3
big,14
gains,5
business.”,1
desire,3
improved,3
isn’t,4
limited,5
only,19
brands.,2
year,4
"ago,",1
own,13
leadership,1
management,15
teams,11
Pixelz,35
sat,4
goal,2
mind:,1
optimize,6
Specialist,1
Assisted,1
Workflow,1
(S.A.W.™),1
reduce,3
waste,11
leaner,1
do.,7
quick,6
note,1
S.A.W.™if,1
aren’t,3
familiar:,1
think,18
S.A.W.™,9
Photoshop,15
assembly,8
line.,2
Pixelz’,4
proprietary,3
production,9
system,9
analyzes,1
uploaded,2
"images,",17
breaks,3
retouching,44
component,2
"steps,",2
routes,1
images,74
specialist,5
human,12
editors,15
automated,7
depending,1
availability,1
deadlines,1
(if,3
full,8
introduction,1
read,4
overview,1
--,1
Assembly,1
Line,1
Lean,1
Production).,1
Though,1
continuous,1
improvement,2
always,10
focus,14
Production,1
"teams,",1
year-long,1
journey,1
sole,1
masterclass,1
"operations,",3
teaching,1
team,11
"reduction,",3
set,17
quality,8
Key,2
Performance,2
"Indicators,",1
importance,1
understanding,4
scope,6
"work,",5
effectively,2
introduce,1
new,22
technology,12
staff.,4
"now,",4
ready,3
share,3
lessons,1
learned,3
provide,9
insights,3
lead,3
transformation.,1
"Historically,",1
hasn’t,1
primary,3
creative-ops,4
way,11
types,2
manufacturing.,1
less,12
readily,1
available,3
activities,1
mindset,1
perceived,1
threat,3
brands,10
often,5
comfortable,1
accepting,1
throughout,4
business.,2
issue,1
averse,1
manufacturer-mindset,1
course,3
thousands,6
photographs,1
retouched,7
little,7
here,4
mean,8
high-additional,1
overhead,1
getting,2
market,3
"late,",1
falling,2
competitors.,1
success,3
optimizing,2
due,2
large-part,1
having,4
open,10
dialogue,2
teams.,3
started,2
efforts,5
towards,4
reducing,2
"Pixelz,",15
whiteboards,2
markers,1
brainstorm,1
thought,2
workflows,2
support,6
it.,21
surprised,1
"how,",2
just,44
hours,2
"discussion,",1
filled,1
concrete,1
ideas,2
optimization.,1
Keep,2
"mind,",2
involved,3
discussions,4
simply,8
identifying,8
ways,6
work,30
smarter:,1
eliminating,2
unnecessary,1
"communication,",2
removing,4
redundant,1
"processes,",2
parts,4
bureaucratic,1
operationally,1
"necessary,",1
simplifying,1
aspects,7
grown,1
needlessly,1
complicated,1
time.,9
turned,1
"out,",2
managers,5
came,4
meeting,5
knowing,1
things,13
improved.,2
high-pace,1
normal,4
workday,1
growing,1
"startup,",1
never,6
solely,1
reduction.,1
Once,5
allocating,1
regularly-scheduled,1
time,41
specifically,4
focused,4
reduction,2
relevant,1
"stakeholders,",1
improve,11
quickly,5
became,2
clear,2
easy,14
put,4
action,3
plans,3
place,3
improving,4
them.,12
Waste,1
cannot,1
side,7
project,6
footnote,1
meeting.,1
going,10
push,4
"removal,",5
suggest,3
setting,4
aside,1
dedicated,2
sit,1
stakeholders,2
"single,",1
core,2
"smarter,",2
"simpler,",1
efficient.,2
details,7
go,15
doing,9
specific,7
"industry,",3
"company,",2
general,3
model,10
structure,3
type,9
"focused-effort,",1
well-known,1
approach,8
conduct,1
Rapid,1
Improvement,1
Events.,1
RIEs,2
proven,2
environment,2
moving,2
solution.,1
in-depth,1
explanation,1
implement,2
Kaufman,1
Global.,1
No,3
matter,5
decide,3
"efforts,",1
thing,4
know,15
sure,9
given,3
opportunity,1
fully,1
bound,1
surprise,1
number,5
"And,",1
"firsthand,",1
small,7
improvements,1
repeated,2
tasks,10
savings,1
overall.,2
liveliest,1
hear,3
Indicators,1
(KPIs).,1
"quarter,",1
gathers,1
room,2
propose,1
KPIs,13
expected,2
"poke,",1
prod,1
challenge,5
metrics,1
measure,12
team’s,2
performance,8
quarter.,1
bedrock,1
question,3
center,3
following:,1
makes,14
good,21
KPI,3
operations?,1
criteria,1
selecting,5
pretty,6
simple.,1
collectively,1
accepted,1
group,1
needs,8
be:,1
weeks,3
"project,",4
realized,1
issue:,1
access,3
copious,1
amounts,1
"data,",4
ended,1
trying,3
track,4
once.,1
resulted,3
weekly,1
30,6
40,1
minutes,2
required,3
data.,2
sheer,1
amount,5
looking,7
"at,",1
got,15
updating,1
"KPIs,",1
picture,3
wasn’t,2
clearer.,1
"important,",1
directly,7
related,6
goals.,3
context,2
served,2
distraction,1
focus.,1
amazing,2
Vietnam,2
vital,2
efficient,9
workflows.,1
"team,",3
recognized,1
issues,3
early,1
"on,",3
worked,5
together,3
limit,2
progress,2
CEO,1
Thomas,2
Ladefoged,1
explains:,2
“We,5
probably,7
once,3
"beginning,",1
mostly,2
enthusiasm,1
impact.,1
wanted,1
show,3
contributing.,1
problem,7
have.,2
bit,7
"tracking,",1
really,26
saw,2
take,23
off.”,1
digital,3
"age,",1
photographer,4
"taking,",1
long,7
takes,7
"retouch,",1
re-shoots,1
"product,",4
shot,4
in-studio,1
appearing,1
website.,2
companies,5
"available,",1
temptation,2
"everything,",1
Pixelz.,6
purpose,1
give,6
individual,7
pulse,1
organization,1
well,16
progressing,1
goals,1
set.,1
"Image-Editing,",1
Made,1
Easy.,1
Use,4
"popular,",3
"reliable,",3
editing,27
company,11
world.,5
30M+,4
morning,5
delivery,5
10,7
edited,11
free,11
start,9
look,15
critically,1
use,45
"efficiency,",2
weary,1
"also,",1
"many,",2
measuring,2
Setting,1
lots,7
sense,5
control.,2
feel,5
efforts.,1
"But,",1
"ultimately,",1
end,11
creating,4
noise,1
hurting,1
ability,9
success.,1
endless,1
binders,1
style,9
guides,3
million,4
spreadsheets,2
"workflows,",2
place.,1
that’s,9
"case,",2
sister,1
CreativeForce.io,1
provides,1
software,10
solution,2
helps,4
creatives,3
streamline,1
world-class,2
gives,5
running.,1
Henry,1
"Ford,",1
manufacturers,1
standardized,4
goods,2
breaking,2
steps,4
executed,2
specialists,5
"skills,",2
"tasks,",3
responsibilities.,1
"day,",4
workers,2
lines,2
world,4
"same,",1
repetitive,3
faster,6
making,12
operation,3
whole,7
apply,14
concept,2
carried,1
inclination,1
(almost),1
correct:,1
building,2
"car,",2
super,6
create,20
hyper-efficient,2
workflow.,4
"is,",6
"fact,",6
works.,1
critical,7
difference,6
variation.,2
Ford's,1
"line,",4
door,1
Ford,1
Fiesta,1
same.,2
"Foxconn,",1
likely,6
working,15
iPhone,1
day.,3
very,18
variation,4
product.,7
work:,1
image-editing,2
photography,11
(any,1
"work),",1
“product”,1
different.,2
need,42
shoot,9
jewelry,2
jeans,1
mannequin,3
"model,",3
requiring,1
unique,1
considerations.,1
"system,",7
editor,6
handle,2
customers,9
images.,25
single,14
retoucher,3
edit,13
shoe.,1
able,15
operate,1
amongst,1
valuable,2
talents.,1
Creatives,2
execute,1
skill.,2
"people,",3
crave,1
certain,2
freedom,1
truly,5
engaged,1
work.,1
answer,4
is:,2
narrowly,1
widely,1
roles,1
responsibilities,2
staff,7
allow,6
people,18
optimal,3
performance?,1
ask,6
exactly,5
question.,1
Nguyen,1
Quynh,1
"Huong,",1
Vice,1
President,1
“Before,1
us.,4
knew,1
experience,5
asking,1
retouchers,4
exercise,1
skills,10
day,5
‘switching’,1
costs,3
switching,2
develop,3
mastery,1
"them.""",1
asked,1
enviornment.,1
presents,1
"issues,",1
Huong,1
explained.,1
"""Our",1
worried,1
giving,4
repititive.,1
"around,",2
needed,3
find,17
sweet,4
spot,4
specialize,1
becoming,1
bored.”,1
"so,",1
"year,",3
trial,5
"error,",1
interviews,1
photo,44
"editors,",5
lot,17
settled,1
avoid,3
"disengagement,",1
hurt,2
costs.,1
"ever,",2
earning,1
"money,",1
frustrated,1
narrow,1
wide,2
scope.,1
creative.,2
skillset,1
depth,1
breadth,1
come,5
solutions,3
special,1
organization.,1
begin,5
"tempted,",1
"were,",1
narrowly.,1
Specialization,1
keeping,3
mind,1
Law,1
Diminishing,1
Returns,1
applies,2
scoping,1
environments.,1
litle,1
creativity,4
potential,2
efficency,1
Trial,1
error,2
spot.,2
testing,1
different,16
"structures,",1
impact,5
adjustment,4
willing,1
fail,1
short-term,1
long-term,1
gains.,1
"process,",2
transparent,2
active,1
role,4
critical.,1
Maintaining,2
significantly,1
impacted,1
changes,4
feedback,1
"working,",1
"not,",2
impacting,2
daily,1
worklife,1
AI,98
beginning,2
play,2
landscape,1
rightfully,1
scares,1
:in,1
coming,3
"years,",2
taking,6
jobs,5
previously,3
done,7
humans,3
continue,1
grow,2
no,11
exception.,1
bleeding-edge,1
Research,1
Development,2
"developed,",1
"refined,",1
integrated,3
scripting,2
bots,5
help,10
highly-skilled,1
retouchers.,1
exciting,4
see,22
livelihood,1
"staff,",2
side-by-side,1
lives,3
years,7
"past,",3
basic,6
pushing,3
buttons,1
tasks.,2
boring,4
"unengaging,",1
"it,",8
"automate,",2
retoucher.,1
"However,",1
tasks--not,1
jobs--have,1
eliminated,1
thanks,1
development,6
Bots.,1
developed,2
carry,1
button,5
masking.,2
sent,11
editor.,2
decides,1
masking,7
pushed,1
"refinement,",1
re-edited,1
Training,1
technologies,6
developing,6
tools,13
adopted,1
sort,3
Terminator,1
"jobs,",1
tool,9
order,11
efficiency.,3
care,4
freeing,1
"engaging,",1
"challenging,",1
higher,5
paying,1
learn,2
Using,2
Automate,4
Retouching).,1
hurdle,1
reap,1
benefits,2
terms,2
education:,1
Human,2
"Resource,",1
"Training,",1
hard,4
educate,1
"Bots,",1
why,13
invested,1
"them,",4
benefit,3
Bots,1
effectively.,1
educating,1
seeing,2
adoption,2
growing.,1
willingness,1
adopt,1
boost,1
heights,1
seen,4
before.,1
chance,1
integrating,1
"AI,",11
"AR,",1
point,5
hopes,1
boosting,1
"Unfortunately,",1
costly,1
mistake,2
investing,2
expensive,2
"technology,",2
send,2
email,1
blast,1
"used,",2
resulting,1
low,4
rates.,1
tell,7
first-hand,1
educational,1
aspect,4
introducing,1
itself.,2
"Fancy,",1
cutting-edge,1
uses,5
waste.,1
worth,3
investment,3
run,1
formal,1
internal,1
marketing,2
campaigns,1
explain,3
"introducing,",1
training,15
"effectively,",1
fancy,1
transform,1
healthier.,1
"road,",1
better,10
learning,5
opportunities,1
knowledge,3
future,7
endeavours.,1
"Hopefully,",1
made,11
mistakes,1
don’t,18
"to,",1
allowing,4
quickly.,2
Blog,9
digests,8
monthly,8
311,8
"Avenue,",8
Suite,8
"#516,",8
San,8
"Diego,",8
CA,8
92101,8
you’re,16
already,7
behind.,1
Automation,1
greatest,1
efficiencies,1
found,2
"workflow,",3
especially,4
true,6
post-production.,3
today’s,1
nearly,2
perfectly,2
aligned,5
needs.,3
Why?,2
minds,1
tech,3
intensely,1
classification,3
Standard,1
input,7
+,10
standard,4
output,4
=,1
actionable,1
exploits,1
cloud,7
autoscale,1
awe,1
(or,2
bore),1
"you,",3
here’s,1
background,41
AI.,7
It’s,7
theory,2
"us,",8
future.,1
driving,3
company—it,1
key,3
recent,3
Series,1
funding—and,1
We’re,5
deep,2
believers,1
"standardization,",1
"automation,",3
prioritization.,1
lean,1
again,4
produces,2
"quality,",1
"faster,",1
efficiently,3
virtually,1
industry.,1
Images,1
micro-steps,1
activity,3
logged.,1
That’s,6
built,8
"S.A.W.™,",2
line,7
editing.,5
completed,2
blend,1
scripts.,1
20%,1
automated—and,1
steadily,1
increasing.,1
"CEO,",1
"Kragelund,",1
recently,2
told,1
"Forbes,",1
estimate,1
50%,2
post-production,7
"2019,",1
possible,4
we’ve,6
massive,2
We’ve,3
tracking,1
—,2
happens,1
extension,1
millions,2
Image,4
"complex,",2
hundreds,1
microsteps,1
allows,2
train,11
precisely.,1
practically,1
decisions,2
extremely,6
exciting.”,1
work?,1
post-production?,1
"First,",4
S.A.W.™.,1
break,1
we’re,5
isolate,1
intelligences,1
contained,1
Controlling,1
critical:,1
limits,1
exceptions,1
“special”,1
cases,5
difficult,5
handle—just,1
humans.,1
drawn,7
trimap,3
assists,1
"example,",20
usually,7
"image,",7
typically,3
idea,6
kind,14
customer,8
uploading.,1
easier,5
draw,5
mask,9
edges,5
sending,1
validate,1
results,6
immediately,3
step,6
completed—further,1
Let’s,3
real,6
life,2
example.,3
mole,3
removal.,2
earliest,1
functional,1
trained,1
remove,15
moles,6
skin,6
retouching.,4
used,18
traditional,3
algorithms,8
detect,4
"skin,",3
algorithm,3
“candidates”,1
(potential,1
"remove),",1
classify,3
candidates.,1
Mole,2
candidates,1
determined,1
based,12
color,8
skin.,4
Seems,1
straightforward—and,1
existing,3
it—but,1
encountered,1
loose,3
hair,2
triggered,1
false,1
positives.,1
job,5
"not-moles,",1
fed,1
"65,000",1
"non-moles,",1
sorted,1
manually,4
(fun,1
job!).,1
photos,26
Not-moles,1
(hair),1
not-moles,1
properly,2
"classified,",1
script,3
worked!,1
successfully,1
removal—but,1
"meantime,",1
trends,1
"changed,",2
nowadays,1
clients,1
prefer,2
natural,6
complete,4
moles.,1
research,3
"anyway,",1
propelled,1
path.,2
"today,",2
bulk,3
classifying,3
upload:,1
"basically,",4
figuring,1
what’s,1
“mole,1
not-mole”,1
far,4
broader,1
parameters.,1
model?,1
mannequin?,1
Shoe?,1
Bottle?,1
Table?,1
Etc.,1
well-trained,1
products,10
laydowns.,1
Maybe,2
sounds,2
simple,6
(“My,1
two,15
old,1
there’s,10
person,2
"not!”),",1
it’s,18
biggest,4
challenges,3
artificial,5
intelligence.,1
brain,1
excels,1
visual,2
auditory,1
"interpretation,",2
children,1
intuit,1
seeming,1
effort,1
stump,1
supercomputers.,1
Almost,1
"latest,",1
"coolest,",1
popular,3
revolves,1
audio,1
recognition.,2
“This,1
self,1
cars,1
loaded,2
sensors.”,1
src:,1
MIT,1
Technology,1
Review,1
Self-driving,1
cars?,2
literally,1
depend,1
(and,4
radar,1
"lidar,",1
hopefully).,1
Alexa?,1
Siri?,1
Google,2
Home?,1
Speech,1
Translating,1
street,1
signs,2
phone,2
camera,13
app?,1
classification.,2
Spotting,1
warning,1
cancer,1
x-rays?,1
get,28
idea.,1
"yes,",2
primarily,2
classifies,1
(using,1
architecture,2
known,1
“Inception”,1
“GoogLeNet”,1
designed,3
by—you,1
guessed,1
it—Google).,1
stage,1
call,3
“image,1
preparation.”,1
preparation,1
"through,",1
determines,2
image.,3
categorization:,1
COO,1
Jakob,3
Osterby,1
"says,",3
“If,2
wouldn't,1
object.,1
"chair,",1
"toothbrush,",1
jacket.,1
"jacket,",1
leather,3
fur.”,1
Fortunately,1
expectations,1
setup,3
specifications,2
ahead,2
variance.,1
"prop,",2
huge,3
"workflow,”",1
says,6
Jakob.,3
“Maybe,1
template,1
doesn't,6
step.,2
there's,1
prop,1
front,2
object—could,1
"hanger,",1
fishing,1
bag,2
stand—we're,1
it.”,1
sorts,1
"prep,",1
assigns,1
complexity,1
scores,1
facial,1
"recognition,",1
"contrast,",2
points,4
layer,8
"mask,",3
presence,1
score,1
determine,1
"costs,",2
"timelines,",1
routed,3
to.,1
“Having,1
"classification,",2
perform,11
that's,23
beautiful,1
"thing,”",1
High,1
contrast,6
relatively,1
masks.,4
realistic,1
important!),1
detects,1
background.,5
earlier,1
black,2
jacket,2
white,13
fur,1
coat.,1
automatic,1
white-on-white,2
"trimap,",2
masked,2
polish,1
mask.,2
record,2
removal,16
stored,1
"later,",1
sharp,1
high,5
(including,1
itself).,1
gets,1
colors,2
"subtle,",1
(like,2
mesh,1
chair,1
"back,",1
"chain),",1
models,5
involved.,3
trimaps,2
assist,1
shocking,1
news?,1
hair.,1
Lots,1
artfully,1
styled,2
dramatically,2
tossed.,1
Talk,1
"retoucher,",1
they’ll,1
consuming,2
job.,1
Fine,1
strands,1
flying,1
"everywhere,",1
crossing,1
adding,2
soft,1
around.,2
Solving,1
quite,8
possibly,1
important,4
challenge.,1
“As,1
40%,1
spent,4
"alone,”",1
“I,1
machine,4
hybrid,2
"human,”",1
continues.,1
“For,1
"masking,",1
comes,9
somebody—right,1
"editor,",2
AI—draw,1
rough,3
path,4
seconds,2
"interface,",1
edge,2
distinguish,1
props,3
actual,1
server,2
"side,",1
removes,1
"background,",9
back,8
validates,1
maybe,3
refines,1
more.”,1
Seconds,1
directing,1
drawing,2
Drawing,2
part,9
generating,1
“trimap.”,1
three,6
segments:,1
foreground,1
(keep,1
"it!),",2
(delete,1
border,1
area,2
outlining,1
drawn.,1
"Okay,",1
cool.,1
trouble?,1
tangible,1
REALLY,1
automation?,1
answers,1
astonishing.,1
quantifying,1
broad,1
"metrics,",1
alone,1
seen:,1
point—and,1
power,4
AI—we’ve,1
autoscaling,1
Amazon,2
servers.,2
CTO,1
Janus,3
Matthesen,1
puts,1
automatically,2
spin,1
servers,2
scale,6
done.,1
fast,1
want,29
move,3
spinning,1
spends,1
(with,1
"servers),",1
workload,1
seconds.”,1
That's,8
right.,2
"10,000,",1
"1,000,000,",1
seconds.,2
"Goodbye,",1
bottlenecks.,2
masks,3
refined,1
rewind,1
dive,2
technical,2
aspects.,1
fact:,1
intelligent.,4
"intelligent,",2
capable,3
learning.,1
They’re,4
"bots,",1
scripts,1
“Apply,2
"Path,”",1
"Mask,”",1
“Auto,3
"Preparation,”",1
"Finalize,”",1
Stencil.”,1
"sophisticated,",1
author’s,1
imagination.,1
intervention:,1
scripter,1
sees,1
handling,1
goes,3
modify,1
script.,1
unintelligent,1
bot,1
began,1
automation,7
ago.,3
“The,1
origins,1
it?”,1
says.,1
import,2
sitting,1
waiting,1
"run,",1
fifteen,1
"consuming,",1
hell,1
job.”,1
intelligence,1
"learning,",1
guessing,1
error.,1
leads,3
accurately,1
intelligent,1
"education,",1
heaps,2
computing,2
power.,1
Just,1
"CTO,",1
Matthesen.,1
“When,1
"models,",3
images—a,1
"process,”",1
Janus.,2
“To,1
"configuration,",1
tweak,1
weights,1
hyperparameters,1
right,22
combination.,2
moved,5
"cloud,",1
test,2
multiple,4
configurations,2
time.”,1
Nvidia,2
Inception,2
Program,1
startups.,1
local,5
"GPUs,",1
released,1
P2,1
P3,2
EC2,1
"instances,",1
"cloud,”",1
“Bringing,1
scaling,1
competitive,1
advantage,6
joined,1
Nvidia's,1
program,2
"startups,",1
aware,1
GPU,2
Cloud,1
runs,1
top,4
instances.”,1
stated,1
"before,",1
automate,8
2019.,3
easily,2
applying,1
additional,3
(more,1
"auto-cropping,",1
"marketplaces,",1
"etc.),",1
truth,2
anticipating,1
revolutionary,1
advancements.,1
major,9
publication,1
October,1
2017,1
papers.,1
else),1
“Convolutional,1
Neural,1
Networks”,1
(CNN).,1
CNN,4
refer,1
“Deep,1
Learning”,1
“Machine,1
Learning.”,1
"weeds,",1
"simplistically,",1
counting,1
objects,2
relationship,1
3,3
dimensions.,1
"result,",2
recognizing,2
similar,3
poses,1
"(position,",1
"size,",1
orientation).,1
Styling,1
angles,1
unexpected,1
positions,1
fool,1
(CNN),1
neural,22
networks.,4
great,3
"rotated,",1
atypical,2
"zoom,",1
photographed,2
angles.,2
"Or,",1
"commonly,",1
fixed,1
shape—like,1
"necklaces,",1
variety,4
"styling,",2
"chains,",1
charms.,1
mitigate,1
controlling,1
rocked,1
godfathers,1
Deep,2
"Learning,",1
Geoffrey,2
"Hinton,",1
introduced,1
network,10
called,10
“Capsule,1
Network”,1
(CapsNet).,1
Capsule,2
networks,10
large,2
pose!,1
Portion,1
Hinton,1
Network,1
paper,2
"(""Matrix",1
Capsules,1
EM,1
"Routing"").",1
proof,1
toy,1
"figurines,",1
individually,1
plain,4
"Overhead,",1
"straight-on,",1
"view,",1
etc.,7
Sounds,1
"imagery,",1
doesn’t,4
it?,2
Identifying,1
pose,2
"huge,",1
"valuable,",1
CapsNet,3
training.,2
encouraging,1
adapt,1
"quickly,",1
hopefully,1
increased,1
greater,2
precision.,1
experimenting,1
now.,2
pan,1
constant,1
advancement,1
extraordinarily,1
of.,1
hope,2
enjoyed,1
retouch,6
convinced,1
value,2
scared,2
SkyNet,1
overlords).,1
incorporate,1
questions!,1
"Comment,",1
"email,",2
hit,1
social,1
media.,1
"encountering,",1
solving,1
fun.,1
information,1
hoarders.,1
"course,",3
resources,2
headfirst.,1
brand,3
retailer—you,1
volume,3
justify,1
Learning,1
dev,1
"do,",1
drive,3
first.,1
"action,",1
"intelligences,",1
try,5
Professional,3
free.,1
Thanks,1
reading!,1
"""Shopify",1
mission,2
democratize,1
empower,1
merchants,11
sizes,3
compete,3
world’s,2
largest,3
ecosystem,2
powered,3
global,2
retailer,1
operating,1
"system.""",1
message,4
Shopify,18
Unite,2
2019,1
conference.,1
crowd,2
two-day,1
event,1
"Toronto,",1
"Canada,",1
empowering,3
common,4
thread,1
weekend.,1
"talk,",1
"update,",1
feature,2
revealed,1
keynotes,1
speeches,1
contributed,1
mission.,2
Shopify’s,10
empowerment,1
struck,1
personally,1
proud,1
entire,1
business,5
photo-editing,1
"entrepreneurs,",1
"studios,",1
online,9
retailers,1
sizes.,3
"me,",1
hearing,2
echoed,1
powerhouse,1
incredibly,1
validating,1
Pixelz',2
Harley,1
"Finkelstein,",1
"COO,",1
discusses,1
Shopify's,5
supporting,1
entrepreneurs,2
announcements,4
writing,2
posts,1
cover,2
news,2
"first,",1
highlighting,1
weekend,2
overall,2
theme,1
loud,1
applause,2
"crowd,",1
Cynthia,2
Savard,2
"Saucier,",1
Director,3
UX,2
Channels,2
"Shopify,",2
unveiled,2
native,3
videos,2
3D,5
Saucier,2
introduces,3
&,6
excitement,1
warranted.,1
explained,3
interact,1
twice,1
purchase,1
didn’t.,1
conversion,1
"rates,",1
can’t,1
merchant,2
partner.,1
technological,1
video,2
sparked,1
cheers,2
crowd.,1
accessibility,2
excited.,1
reserved,2
budgets.,1
"Now,",1
"offer,",2
leveling,1
playing,1
field,2
helping,1
smaller,2
leaders.,1
"keynote,",1
Arpan,1
"Podduturi,",1
host,1
upgrades,1
Point,1
Sale,1
"(POS),",1
informed,1
currently,2
"100,000",1
merchants.,1
"eyes,",2
star,2
announcement,1
"""Tap",1
"Chip""",1
case.,1
Building,2
POS,5
Tap,1
Chip,1
Reader,1
turns,1
sale.,1
larger,1
Apple,1
accessible,4
$1,3
trillion,1
dollars.,1
powerful,4
fit,7
pocket,1
endless:,1
eliminate,1
"lines,",3
stand,2
Saturday,1
"solution,",1
businesses,1
trade,2
shows,2
meet-ups.,1
instantly,2
service,18
size.,3
app,2
received,1
upgrades.,1
Merchants,1
inventory,2
stores,1
sales,3
locations.,1
multi-channel,1
CRM,2
POS.,1
Podduturi,1
suggestions,1
purchases,1
return,2
customer's,1
name.,1
rebuild,1
channel,1
offers,2
store,3
functionality,5
viewing,1
location,2
employee.,1
"Again,",1
dollars,1
invest,1
recognizes,1
"better,",1
"affordable,",1
everyone.,1
days,1
"Unite,",1
loudest,1
heard,3
CPO,2
Craig,2
Miller,4
announced,1
billion,1
distribution,7
network.,2
priced,1
effective,1
shipping,3
options,3
considered,1
insignificant,1
serve,2
current,4
providers.,2
build,2
Shopify-owned,1
partner,1
centers.,1
2-day,1
anywhere,3
"10-10,000",1
items,2
“up,1
down”,1
ship,1
"3-30,000",1
putting,2
ton,1
pressure,1
legacy,1
logistic,1
Billion,1
fullfillment,1
impressive,1
"themselves,",2
dropped,1
neat,1
services,7
including:,1
Simplified,1
Contracts:,1
opposed,2
"contracts,",1
mouse-clicks.,1
Leveraging,1
Machine,1
Learning:,1
centers,1
inform,1
restock,1
node,1
SKUs,1
.,1
Customer,1
Packaging:,1
Custom,1
packaging,1
option,3
packages,5
arrive,1
merchant’s,1
logo,1
Shopify’s.,1
walking-the-walk,1
bring,1
barrier,1
entry,2
"down,",1
simplified,1
deepest,1
pockets.,1
share.,1
"stories,",1
"partnerships,",1
contribute,1
weekend:,1
owners,1
lookout,1
report,1
event!,1
“background,1
removal”,1
"knockout,",1
"cut-out,",1
"silhouette,",1
"etching,",1
"clipping,",2
clipping,5
paths,3
necessarily,2
"take,",1
offer,2
so.,1
guide,3
we’ll,3
"general,",1
questions,4
comparing,2
services.,2
Background,2
Removal,2
"Photoshop,",4
vector,1
graphic,2
outlines,1
"object,",2
trace,1
edges.,1
Clipping,1
purposes:,1
cutting,3
object,1
wrapping,1
text,1
Come,1
stay,2
imagery,3
choose,1
"clipped,",1
looks,6
there!,1
let,1
flexibility,1
"future,",4
"removed,",1
bat.,1
both:,1
"input,",1
outputs,2
clipped,1
removed.,4
"Amazon,",1
"eBay,",1
require,2
neutral,2
backgrounds.,3
cut-out,2
original,8
replace,1
pure,2
compliant,1
good.,2
Even,7
professional,6
studio,7
"photos,",2
differences,2
shoots.,1
Removing,2
"consistent,",2
browsing,1
replacing,2
reduces,2
image’s,1
byte,1
Smaller,1
"loading,",1
